row_id,source_module,source_artifact_path,source_artifact_hash,model_id,dataset_id,domain_id,seed,trajectory_id,state_index,prediction_horizon,extraction_timestamp,builder_version,config_hash,ood_score,uncertainty_score,drift_score,fused_risk,stress_robust_fused_risk,signal_disagreement,ood_drift_redundancy,stress_robustness,fault_sensitivity,memory_similarity,temporal_failure_probability,early_warning_state,has_ood,has_uncertainty,has_drift,has_fused_risk,has_memory,has_temporal,has_early_warning,has_ground_truth,is_censored,eventual_failure,failure_event_index,failure_within_horizon,states_remaining_before_failure
423797b70772e69763ff185c,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,0,1,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,0,0.0
dc0af55cfca5a0c78c36a22a,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,0,2,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,0.0
852b7be441d7de60d16595e7,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,0,3,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,0.0
0203f42014394770c2239c7d,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,0,5,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,0.0
603baa3486980d887485946b,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,1,1,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,
aa446bc29977f403e468421f,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,1,2,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,
1f6735104df002d0b68ace0c,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,1,3,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,
42d370354002735cfd60c9b0,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,1,5,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,
29f8646864df7918324b962e,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,2,1,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,0,
a8c7e998fa05f161d224604a,Module_12_CrossDomain,sklearn.datasets.load_digits,06e860124090122424c83ba75907295dfefdbe79a18e0eef61afe41e29744f7a,digits_parity_v1,digits_parity,digits_parity,42,unit_0,2,2,2026-09-02T20:45:00Z,1.0.0,8e7fd68470057c99,0.15,0.25,0.1,0.18,0.18,0.06236095644623235,,,,,,NORMAL,True,True,True,True,False,False,False,True,False,1,0,1,
